Time,Vdc,Adc
1678481640.7225626, 5.2450e1, 4.9104e-5
1678481641.1775846, 5.2451e1, 7.2287e-6
1678481641.6472476, 5.2451e1,-1.9605e-5
1678481642.2796636, 5.2451e1,-1.2255e-5
1678481642.6946077, 5.2451e1,-1.7413e-5
1678481643.1782312, 5.2451e1,-3.3933e-5
1678481643.6471138, 5.2451e1,-5.4856e-5
1678481644.2792182, 5.2451e1,-6.7285e-5
1678481644.6952295, 5.2450e1,-6.8474e-5
1678481645.178203, 5.2450e1,-5.7530e-5
1678481645.6477127, 5.2450e1,-5.4709e-5
1678481646.2797387, 5.2450e1,-5.4609e-5
1678481646.6956058, 5.2450e1,-5.0749e-5
1678481647.1785157, 5.2450e1,-4.9904e-5
1678481647.6476398, 5.2450e1,-6.3557e-5
1678481648.2807817, 5.2450e1,-7.5196e-5
1678481648.6958902, 5.2450e1,-1.0049e-4
1678481649.1786525, 5.2450e1,-1.0624e-4
1678481649.6482763, 5.2451e1,-9.0010e-5
1678481650.2809505, 5.2451e1,-8.4525e-5
1678481650.695686, 5.2451e1,-6.6624e-5
1678481651.179655, 5.2451e1,-6.1331e-5
1678481651.64832, 5.2451e1,-6.5491e-5
1678481652.2804408, 5.2451e1,-6.7850e-5
1678481652.6953897, 5.2451e1,-8.8139e-5
1678481653.1794834, 5.2451e1,-9.6519e-5
1678481653.648486, 5.2451e1,-9.6109e-5
1678481654.280952, 5.2450e1,-1.0293e-4
1678481654.695431, 5.2450e1,-9.4709e-5
1678481655.1795003, 5.2450e1,-9.3991e-5
1678481655.6487596, 5.2450e1,-8.7576e-5
1678481656.280604, 5.2450e1,-7.3565e-5
1678481656.6965232, 5.2450e1,-4.0228e-5
1678481657.1799934, 5.2450e1,-1.5482e-5
1678481657.649301, 5.2450e1,-5.0471e-6
1678481658.2820318, 5.2450e1, 1.2329e-5
1678481658.6969843, 5.2450e1,-8.8743e-6
1678481659.1801503, 5.2450e1,-1.8384e-5
1678481659.6496015, 5.2450e1,-2.0431e-5
1678481660.2820656, 5.2449e1,-1.3710e-5
1678481660.6970232, 5.2449e1,-6.2715e-6
1678481662.4751222, 5.2404e1, 7.4560e-1
1678481664.4231591, 5.2339e1, 1.7342
1678481664.8923175, 5.2322e1, 1.9842
1678481665.5251849, 5.2319e1, 1.9997
1678481665.9401557, 5.2317e1, 1.9997
1678481666.422842, 5.2315e1, 1.9997
1678481666.8923476, 5.2313e1, 1.9997
1678481667.5252337, 5.2311e1, 1.9997
1678481667.940225, 5.2308e1, 2.0152
1678481668.4232192, 5.2303e1, 2.0762
1678481668.892913, 5.2297e1, 2.1511
1678481670.6729593, 5.2270e1, 2.4915
1678481671.3048294, 5.2261e1, 2.6070
1678481671.7198162, 5.2254e1, 2.6995
1678481672.2043376, 5.2247e1, 2.7659
1678481672.6732147, 5.2240e1, 2.8520
