Model,RTH1004
SerialNumber,103234
Firmware Version,'1.60.3.3'

Waveform Time Stamp,2019-11-22 23:27:30.576,2019-11-22 23:27:30.576,2019-11-22 23:27:30.576,2019-11-22 23:27:30.576
Waveform Type,ANALOG,,,
Acquisition Mode,SAMPLE,,,
Horizontal Unit,s,,,
Horizontal Scale,20,,,
Horizontal Position,0,,,
Reference Point,10 %,,,
Sample Interval,0.08,,,
Record Length,2500,,,
Probe Setting,'10:1','10 mV/A','10:1','10:1'
Vertical Unit,V,A,V,V
Vertical Scale,2,20,2,2
Vertical Position,-3,-3,-3,-3
Vertical Offset,0,0,0,0
History Index,-1,-1,-1,-1
History Time Stamp,-219.760000000000,-219.760000000000,-219.760000000000,-219.760000000000
,,,,
TIME,CH1,CH2,CH3,CH4
-20,11.773,103.92,11.647,11.71
-19.92,11.741,105.49,11.616,11.678
-19.84,11.773,102.98,11.553,11.647
-19.76,11.741,106.12,11.553,11.678
-19.68,11.804,104.55,11.522,11.741
-19.6,11.804,105.49,11.71,11.647
-19.52,11.741,104.55,11.584,11.678
-19.44,11.741,105.49,11.647,11.647
-19.36,11.804,104.55,11.584,11.71
-19.28,11.835,105.18,11.584,11.773
-19.2,11.741,104.55,11.616,11.678
-19.12,11.71,107.06,11.553,11.71
-19.04,11.773,105.18,11.459,11.616
-18.96,11.71,105.18,11.616,11.647
-18.88,11.773,106.75,11.553,11.71
-18.8,11.773,104.55,11.584,11.71
-18.72,11.835,106.43,11.553,11.647
-18.64,11.773,105.49,11.553,11.616
-18.56,11.773,107.06,11.553,11.616
-18.48,11.71,106.43,11.522,11.616
-18.4,11.773,106.75,11.553,11.647
-18.32,11.741,105.49,11.584,11.616
-18.24,11.71,107.06,11.647,11.741
-18.16,11.804,105.49,11.522,11.678
-18.08,11.71,106.75,11.584,11.616
-18,11.804,107.06,11.584,11.678
-17.92,11.773,106.75,11.616,11.678
-17.84,11.804,107.06,11.616,11.71
-17.76,11.773,107.06,11.522,11.553
-17.68,11.71,109.57,11.616,11.616
-17.6,11.71,107.69,11.616,11.647
-17.52,11.741,107.37,11.647,11.71
-17.44,11.804,107.69,11.584,11.678
-17.36,11.773,108.63,11.616,11.647
-17.28,11.804,106.75,11.616,11.616
-17.2,11.835,108.31,11.616,11.71
-17.12,11.773,108,11.584,11.741
-17.04,11.741,109.25,11.647,11.678
-16.96,11.773,109.57,11.553,11.71
-16.88,11.804,109.25,11.616,11.647
-16.8,11.71,109.25,11.553,11.616
-16.72,11.773,111.14,11.616,11.71
-16.64,11.678,109.57,11.522,11.647
-16.56,11.773,111.14,11.647,11.678
-16.48,12.243,109.57,12.243,12.337
-16.4,11.835,109.88,11.584,11.49
-16.32,11.647,111.14,11.396,11.553
-16.24,11.678,111.45,11.427,11.522
-16.16,11.647,111.45,11.49,11.647
-16.08,11.647,108.94,11.49,11.522
-16,11.71,109.57,11.584,11.553
-15.92,11.741,109.57,11.459,11.584
-15.84,11.71,109.57,11.49,11.49
-15.76,11.71,109.88,11.522,11.553
-15.68,11.71,109.88,11.553,11.553
-15.6,11.71,107.37,11.553,11.647
-15.52,11.647,109.25,11.396,11.553
-15.44,11.616,108.94,11.49,11.522
-15.36,11.71,109.25,11.396,11.584
-15.28,11.678,109.57,11.522,11.553
-15.2,11.71,108.31,11.553,11.522
-15.12,11.71,109.57,11.522,11.584
-15.04,11.678,109.57,11.427,11.522
-14.96,11.647,109.57,11.49,11.553
-14.88,11.71,109.88,11.553,11.616
-14.8,11.647,109.88,11.522,11.49
-14.72,11.71,107.37,11.459,11.522
-14.64,11.647,108.63,11.427,11.584
-14.56,11.616,107.69,11.459,11.553
-14.48,11.678,108.63,11.459,11.616
-14.4,11.71,108.31,11.522,11.616
-14.32,11.71,107.69,11.522,11.616
-14.24,11.678,108.94,11.522,11.553
-14.16,11.678,108,11.49,11.616
-14.08,11.71,110.2,11.459,11.553
-14,11.71,108.94,11.522,11.616
-13.92,11.678,107.37,11.522,11.584
-13.84,11.741,106.12,11.49,11.616
-13.76,11.71,108,11.49,11.584
-13.68,11.678,107.06,11.49,11.584
-13.6,11.647,107.06,11.49,11.584
-13.52,11.71,108.94,11.522,11.647
-13.44,11.71,105.8,11.522,11.584
-13.36,11.678,109.25,11.49,11.553
-13.28,11.678,107.06,11.553,11.584
-13.2,11.678,107.69,11.522,11.553
-13.12,11.741,106.43,11.49,11.553
-13.04,11.616,107.06,11.49,11.584
-12.96,11.773,106.12,11.522,11.553
-12.88,11.678,105.18,11.522,11.584
-12.8,11.71,107.69,11.553,11.553
-12.72,11.71,105.49,11.459,11.616
-12.64,11.741,107.06,11.459,11.584
-12.56,11.678,106.12,11.522,11.522
-12.48,11.678,106.12,11.522,11.584
-12.4,11.741,106.75,11.522,11.616
-12.32,11.678,107.37,11.49,11.584
-12.24,11.71,106.12,11.49,11.584
-12.16,11.71,105.18,11.522,11.616
-12.08,11.71,105.8,11.522,11.584
-12,11.741,105.49,11.553,11.584
-11.92,11.678,106.75,11.522,11.553
-11.84,11.71,107.06,11.459,11.49
-11.76,11.71,104.24,11.49,11.584
-11.68,11.71,104.55,11.49,11.553
-11.6,11.71,104.24,11.553,11.616
-11.52,11.678,105.49,11.459,11.522
-11.44,11.741,104.86,11.427,11.647
-11.36,11.71,104.55,11.459,11.553
-11.28,11.773,104.86,11.522,11.584
-11.2,11.71,104.55,11.522,11.553
-11.12,11.678,104.86,11.427,11.522
-11.04,11.71,103.92,11.584,11.647
-10.96,11.71,103.61,11.427,11.49
-10.88,11.678,104.24,11.522,11.553
-10.8,11.773,103.29,11.584,11.678
-10.72,11.553,103.61,11.365,11.427
-10.64,11.678,102.35,11.522,11.678
-10.56,11.867,102.98,11.741,11.773
-10.48,11.867,102.67,11.616,11.71
-10.4,11.71,101.1,11.616,11.71
-10.32,10.925,103.61,10.863,10.612
-10.24,11.773,101.73,11.616,11.678
-10.16,11.835,102.67,11.616,11.647
-10.08,11.71,102.04,11.584,11.647
-10,11.773,102.67,11.584,11.741
-9.92,11.741,102.04,11.522,11.584
-9.84,11.773,103.61,11.584,11.678
-9.76,11.71,103.29,11.553,11.678
-9.68,11.773,101.1,11.616,11.773
-9.6,11.773,102.35,11.553,11.678
-9.52,11.741,102.04,11.616,11.71
-9.44,11.804,102.04,11.584,11.71
-9.36,11.835,104.55,11.584,11.647
-9.28,11.71,102.67,11.584,11.678
-9.2,11.741,103.29,11.616,11.616
-9.12,11.773,102.98,11.553,11.647
-9.04,11.773,105.8,11.584,11.71
-8.96,11.741,103.29,11.584,11.616
-8.88,11.741,102.67,11.584,11.647
-8.8,11.835,104.55,11.584,11.647
-8.72,11.741,102.04,11.584,11.71
-8.64,11.773,103.92,11.584,11.678
-8.56,11.835,104.24,11.522,11.71
-8.48,11.741,103.61,11.647,11.647
-8.4,11.773,104.55,11.553,11.616
-8.32,11.804,105.49,11.584,11.647
-8.24,11.773,103.92,11.616,11.647
-8.16,11.741,104.24,11.553,11.678
-8.08,11.773,104.86,11.584,11.647
-8,11.741,103.92,11.616,11.773
-7.92,11.773,103.92,11.678,11.678
-7.84,11.835,105.18,11.584,11.678
-7.76,11.804,104.24,11.584,11.741
-7.68,11.804,104.86,11.616,11.741
-7.6,11.741,105.49,11.553,11.647
-7.52,11.71,104.24,11.553,11.647
-7.44,11.804,104.86,11.584,11.741
-7.36,11.741,105.18,11.616,11.71
-7.28,11.741,105.18,11.584,11.678
-7.2,11.773,102.98,11.584,11.71
-7.12,11.804,104.86,11.584,11.647
-7.04,11.804,104.24,11.584,11.678
-6.96,11.804,103.61,11.616,11.678
-6.88,11.71,106.75,11.553,11.678
-6.8,11.804,104.86,11.553,11.773
