values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.756557;12.860376;12.811543;0.20383032;
12.756557;12.860376;12.811543;0.20383032;
12.756557;12.860376;12.811543;0.20383032;
12.751974;12.858095;12.81077;0.20153721;
12.751974;12.858095;12.81077;0.20153721;
12.751974;12.858095;12.81077;0.20153721;
12.757359;12.863982;12.811134;0.2080508;
12.757359;12.863982;12.811134;0.2080508;
12.757359;12.863982;12.811134;0.2080508;
12.757359;12.863982;12.811134;0.2080508;
12.753509;12.86326;12.808056;0.201921;
12.753509;12.86326;12.808056;0.201921;
12.753509;12.86326;12.808056;0.201921;
12.755176;12.865808;12.813672;0.20492077;
12.755176;12.865808;12.813672;0.20492077;
12.755176;12.865808;12.813672;0.20492077;
12.752378;12.869072;12.807644;0.20462812;
12.752378;12.869072;12.807644;0.20462812;
12.752378;12.869072;12.807644;0.20462812;
12.757938;12.86268;12.811354;0.21201599;
12.757938;12.86268;12.811354;0.21201599;
12.757938;12.86268;12.811354;0.21201599;
12.757938;12.86268;12.811354;0.21201599;
12.75731;12.863099;12.813924;0.21003631;
12.75731;12.863099;12.813924;0.21003631;
12.75731;12.863099;12.813924;0.21003631;
12.75523;12.862126;12.812842;0.22792056;
12.75523;12.862126;12.812842;0.22792056;
12.75523;12.862126;12.812842;0.22792056;
12.759317;12.859497;12.818576;0.21007571;
12.759317;12.859497;12.818576;0.21007571;
12.759317;12.859497;12.818576;0.21007571;
12.75791;12.861818;12.814448;0.20024194;
12.75791;12.861818;12.814448;0.20024194;
12.75791;12.861818;12.814448;0.20024194;
12.759673;12.860099;12.809268;0.20869547;
12.759673;12.860099;12.809268;0.20869547;
12.759673;12.860099;12.809268;0.20869547;
12.759673;12.860099;12.809268;0.20869547;
12.759199;12.862624;12.812723;0.20780835;
12.759199;12.862624;12.812723;0.20780835;
12.759199;12.862624;12.812723;0.20780835;
12.765265;12.857404;12.817616;0.21679661;
12.765265;12.857404;12.817616;0.21679661;
12.765265;12.857404;12.817616;0.21679661;
12.766422;12.864578;12.819044;0.20328031;
12.766422;12.864578;12.819044;0.20328031;
12.766422;12.864578;12.819044;0.20328031;
12.766422;12.864578;12.819044;0.20328031;
12.765927;12.863333;12.816168;0.21428926;
12.765927;12.863333;12.816168;0.21428926;
12.765927;12.863333;12.816168;0.21428926;
12.761109;12.866712;12.812915;0.20534714;
12.761109;12.866712;12.812915;0.20534714;
12.761109;12.866712;12.812915;0.20534714;
12.761231;12.860721;12.812684;0.24162786;
12.761231;12.860721;12.812684;0.24162786;
12.761231;12.860721;12.812684;0.24162786;
12.761231;12.860721;12.812684;0.24162786;
12.76677;12.862286;12.813592;0.21025847;
12.76677;12.862286;12.813592;0.21025847;
12.76677;12.862286;12.813592;0.21025847;
12.763739;12.864237;12.817666;0.20245278;
12.763739;12.864237;12.817666;0.20245278;
12.763739;12.864237;12.817666;0.20245278;
12.759414;12.866232;12.815811;0.21148883;
12.759414;12.866232;12.815811;0.21148883;
