values(1);values(2);values(3);values(4);
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
nan;nan;nan;nan;
12.796374;12.917108;12.874964;0.08729098;
12.796374;12.917108;12.874964;0.08729098;
12.796374;12.917108;12.874964;0.08729098;
12.798207;12.919119;12.881713;0.25504628;
12.798207;12.919119;12.881713;0.25504628;
12.798207;12.919119;12.881713;0.25504628;
12.800759;12.918538;12.881701;-0.16587295;
12.800759;12.918538;12.881701;-0.16587295;
12.800759;12.918538;12.881701;-0.16587295;
12.80312;12.918334;12.878134;0.026905099;
12.80312;12.918334;12.878134;0.026905099;
12.80312;12.918334;12.878134;0.026905099;
12.80312;12.918334;12.878134;0.026905099;
12.800425;12.920635;12.876503;-0.012850196;
12.800425;12.920635;12.876503;-0.012850196;
12.800425;12.920635;12.876503;-0.012850196;
12.801774;12.918445;12.875837;-0.015435294;
12.801774;12.918445;12.875837;-0.015435294;
12.801774;12.918445;12.875837;-0.015435294;
12.802289;12.9243;12.878883;-0.4379859;
12.802289;12.9243;12.878883;-0.4379859;
12.802289;12.9243;12.878883;-0.4379859;
12.798181;12.920117;12.873134;-0.046054903;
12.798181;12.920117;12.873134;-0.046054903;
12.798181;12.920117;12.873134;-0.046054903;
12.80057;12.92091;12.880878;-0.20720941;
12.80057;12.92091;12.880878;-0.20720941;
12.80057;12.92091;12.880878;-0.20720941;
12.80057;12.92091;12.880878;-0.20720941;
12.800007;12.921585;12.875724;-0.21606901;
12.800007;12.921585;12.875724;-0.21606901;
12.800007;12.921585;12.875724;-0.21606901;
12.803384;12.918953;12.880297;-0.03942902;
12.803384;12.918953;12.880297;-0.03942902;
12.803384;12.918953;12.880297;-0.03942902;
12.803384;12.918953;12.880297;-0.03942902;
12.801717;12.919944;12.878601;-0.20367059;
12.801717;12.919944;12.878601;-0.20367059;
12.801717;12.919944;12.878601;-0.20367059;
12.796672;12.920799;12.877454;-0.38144001;
12.796672;12.920799;12.877454;-0.38144001;
12.796672;12.920799;12.877454;-0.38144001;
12.804186;12.919766;12.875483;-0.33799529;
12.804186;12.919766;12.875483;-0.33799529;
12.804186;12.919766;12.875483;-0.33799529;
12.793914;12.91834;12.878596;-0.56859607;
12.793914;12.91834;12.878596;-0.56859607;
12.793914;12.91834;12.878596;-0.56859607;
12.793914;12.91834;12.878596;-0.56859607;
12.802116;12.923103;12.882139;-0.072357647;
12.802116;12.923103;12.882139;-0.072357647;
12.802116;12.923103;12.882139;-0.072357647;
12.793644;12.925507;12.881452;-0.20964392;
12.793644;12.925507;12.881452;-0.20964392;
12.793644;12.925507;12.881452;-0.20964392;
12.793644;12.925507;12.881452;-0.20964392;
12.801089;12.925183;12.882111;-0.40164393;
12.801089;12.925183;12.882111;-0.40164393;
12.801089;12.925183;12.882111;-0.40164393;
12.800422;12.923867;12.88175;-0.2330353;
12.800422;12.923867;12.88175;-0.2330353;
12.800422;12.923867;12.88175;-0.2330353;
12.795579;12.923166;12.88085;0.014029804;
12.795579;12.923166;12.88085;0.014029804;
