-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/29/2020 through 02/02/2020 
Location: Latitude  -26.2477   Longitude -48.643 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 214.79 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2M,WS10M,WD10M
2020,1,28,21,0.0,0.0,21.72,0.91,92.45
2020,1,28,22,0.0,0.0,21.69,0.87,87.94
2020,1,28,23,0.0,0.0,21.53,1.1,74.78
2020,1,29,0,0.0,0.0,21.12,1.29,50.42
2020,1,29,1,0.0,0.0,20.68,1.47,31.75
2020,1,29,2,0.0,0.0,20.39,1.61,20.46
2020,1,29,3,0.0,0.0,20.16,1.65,14.56
2020,1,29,4,0.0,0.0,20.0,1.64,8.52
2020,1,29,5,0.0,0.0,19.87,1.59,0.85
2020,1,29,6,51.38,89.33,20.69,1.2,353.25
2020,1,29,7,204.52,299.5,22.24,0.88,352.87
2020,1,29,8,395.17,525.25,23.9,0.97,5.07
2020,1,29,9,499.11,724.27,26.19,1.03,13.19
2020,1,29,10,581.91,882.2,28.12,0.96,18.43
2020,1,29,11,737.49,982.8,29.72,0.87,24.49
2020,1,29,12,680.58,1020.5,30.89,0.77,40.03
2020,1,29,13,706.3,982.55,31.43,0.83,64.89
2020,1,29,14,467.04,881.02,31.1,1.15,80.99
2020,1,29,15,160.25,715.75,29.95,1.56,83.66
2020,1,29,16,138.66,501.6,28.34,1.83,77.44
2020,1,29,17,71.05,272.98,26.52,1.8,67.32
2020,1,29,18,22.02,68.0,24.87,1.41,59.47
2020,1,29,19,0.0,0.0,23.95,0.91,50.57
2020,1,29,20,0.0,0.0,23.66,1.03,43.47
2020,1,29,21,0.0,0.0,23.51,1.02,35.64
2020,1,29,22,0.0,0.0,23.36,1.02,26.76
2020,1,29,23,0.0,0.0,23.15,1.16,26.74
2020,1,30,0,0.0,0.0,23.06,1.07,31.25
2020,1,30,1,0.0,0.0,23.1,1.18,30.64
2020,1,30,2,0.0,0.0,23.17,1.23,23.63
2020,1,30,3,0.0,0.0,23.01,1.01,2.22
2020,1,30,4,0.0,0.0,22.81,0.97,332.82
2020,1,30,5,0.0,0.0,22.85,1.11,308.16
2020,1,30,6,51.97,78.77,23.22,1.2,297.9
