V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
0.000,0.000,0.000,0.000,0.000,NaN,NaN,NaN,0.000,0.000
2.222,0.290,0.900,39.96,0.089,3.799,0.727,3.072,-0.179,-1.336
4.444,0.580,1.800,205.5,0.913,4.884,1.812,3.073,1.294,-28.27
6.667,0.870,2.700,404.4,2.696,4.272,1.531,2.741,1.817,-17.16
8.889,1.159,3.600,529.9,4.710,3.149,0.809,2.340,1.248,6.736
11.11,1.449,4.500,725.1,8.057,2.758,0.566,2.192,0.772,10.90
13.33,1.739,5.400,982.1,13.10,2.594,0.476,2.118,0.511,12.46
15.56,2.029,6.300,1279,19.89,2.481,0.428,2.053,0.386,13.39
17.78,2.319,7.200,1617,28.75,2.403,0.398,2.005,0.299,13.95
20.00,2.609,8.100,1990,39.80,2.336,0.379,1.957,0.247,15.04
