V (m/s),FnL,FnV,RT (N),PE (kW),CT (·10³),CP (·10³),CF (·10³),τ (°),s (mm)
0.000,0.000,0.000,0.000,0.000,NaN,NaN,NaN,0.000,0.000
0.010,0.001,0.004,0.002,0.000,10.19,0.000,10.19,-0.000,0.000
0.020,0.003,0.008,0.007,0.000,8.248,0.000,8.248,-0.000,0.000
0.030,0.004,0.012,0.015,0.000,7.580,0.220,7.359,-0.000,0.001
0.040,0.005,0.016,0.024,0.000,7.171,0.358,6.814,-0.000,0.001
0.050,0.007,0.020,0.037,0.000,6.871,0.440,6.431,-0.000,0.002
0.060,0.008,0.024,0.051,0.000,6.636,0.494,6.142,-0.000,0.002
0.070,0.009,0.028,0.067,0.000,6.444,0.531,5.913,-0.000,0.003
0.080,0.010,0.032,0.086,0.000,6.282,0.558,5.724,-0.000,0.004
0.090,0.012,0.036,0.106,0.000,6.143,0.578,5.565,-0.000,0.005
0.100,0.013,0.041,0.129,0.000,6.022,0.593,5.429,-0.000,0.007
0.110,0.014,0.045,0.153,0.000,5.915,0.605,5.309,-0.000,0.008
0.120,0.016,0.049,0.179,0.000,5.818,0.614,5.204,-0.000,0.010
0.130,0.017,0.053,0.207,0.000,5.731,0.622,5.110,-0.000,0.011
0.140,0.018,0.057,0.236,0.000,5.652,0.627,5.025,-0.000,0.013
0.150,0.020,0.061,0.268,0.000,5.579,0.632,4.947,-0.000,0.015
0.160,0.021,0.065,0.301,0.000,5.512,0.636,4.877,-0.000,0.017
0.170,0.022,0.069,0.336,0.000,5.450,0.639,4.812,-0.000,0.020
0.180,0.024,0.073,0.373,0.000,5.392,0.641,4.752,-0.000,0.022
0.190,0.025,0.077,0.411,0.000,5.338,0.643,4.696,-0.000,0.024
0.200,0.026,0.081,0.451,0.000,5.288,0.644,4.644,-0.000,0.027
0.210,0.027,0.085,0.493,0.000,5.239,0.645,4.594,-0.000,0.030
0.220,0.029,0.089,0.536,0.000,5.194,0.645,4.549,-0.000,0.033
0.230,0.030,0.093,0.582,0.000,5.151,0.646,4.506,-0.000,0.036
0.240,0.031,0.097,0.628,0.000,5.111,0.646,4.465,-0.000,0.039
0.250,0.033,0.101,0.677,0.000,5.072,0.646,4.426,-0.000,0.042
0.260,0.034,0.105,0.726,0.000,5.036,0.646,4.390,-0.000,0.045
0.270,0.035,0.109,0.778,0.000,5.002,0.646,4.356,0.000,0.042
0.280,0.037,0.114,0.831,0.000,4.968,0.646,4.323,0.000,0.046
0.290,0.038,0.118,0.886,0.000,4.936,0.645,4.291,0.000,0.050
0.300,0.039,0.122,0.942,0.000,4.905,0.645,4.260,0.000,0.054
0.310,0.040,0.126,1.000,0.000,4.876,0.644,4.232,0.000,0.058
0.320,0.042,0.130,1.059,0.000,4.847,0.643,4.204,0.000,0.062
0.330,0.043,0.134,1.120,0.000,4.820,0.643,4.177,0.000,0.066
0.340,0.044,0.138,1.183,0.000,4.794,0.642,4.152,0.000,0.071
