Module ID,T (°C),G (W/m2),Isc (A),Voc (V),Imp (A),Vmp (V),Pmp (W)
19074-004,15.33,1000,8.952,38.82,8.440,31.87,268.98
19074-004,20.15,1000,8.975,38.26,8.450,31.24,263.94
19074-004,25.07,1000,8.989,37.69,8.437,30.64,258.47
19074-004,29.84,1000,9.014,37.12,8.445,30.02,253.51
19074-004,34.71,1000,9.036,36.55,8.449,29.40,248.38
19074-004,39.75,1000,9.049,35.96,8.439,28.77,242.76
19074-004,44.71,1000,9.066,35.38,8.439,28.14,237.51
19074-004,49.77,1000,9.075,34.78,8.419,27.51,231.59
19074-004,54.67,1000,9.099,34.22,8.420,26.90,226.51
19074-004,59.73,1000,9.110,33.62,8.402,26.28,220.82
19074-004,64.72,1000,9.130,33.03,8.395,25.65,215.32
19074-004,69.63,1000,9.141,32.44,8.377,25.04,209.80
19074-004,74.91,1000,9.151,31.82,8.359,24.39,203.91
