V [V],I [A] (1000 W/m²),I [A] (800 W/m²),I [A] (600 W/m²),I [A] (400 W/m²)
0.1,8.906,7.167,5.259,3.45
0.2,8.906,7.167,5.259,3.45
0.3,8.906,7.167,5.259,3.45
0.4,8.906,7.167,5.258,3.45
0.5,8.906,7.167,5.258,3.449
0.6,8.907,7.167,5.257,3.449
0.7,8.907,7.167,5.257,3.449
0.8,8.907,7.167,5.257,3.449
0.9,8.907,7.167,5.256,3.449
1,8.907,7.167,5.256,3.448
1.1,8.907,7.167,5.255,3.448
1.2,8.907,7.167,5.255,3.448
1.3,8.907,7.167,5.255,3.448
1.4,8.907,7.167,5.254,3.448
1.5,8.907,7.167,5.254,3.448
1.6,8.908,7.167,5.253,3.447
1.7,8.908,7.167,5.253,3.447
1.8,8.908,7.167,5.253,3.447
1.9,8.908,7.167,5.252,3.447
2,8.908,7.167,5.252,3.447
2.1,8.908,7.167,5.251,3.446
2.2,8.908,7.167,5.251,3.446
2.3,8.908,7.167,5.251,3.446
2.4,8.908,7.167,5.25,3.446
2.5,8.908,7.167,5.25,3.446
2.6,8.909,7.167,5.25,3.446
2.7,8.909,7.167,5.249,3.445
2.8,8.909,7.167,5.249,3.445
2.9,8.909,7.167,5.248,3.445
3,8.909,7.167,5.248,3.445
3.1,8.909,7.167,5.248,3.445
3.2,8.909,7.167,5.247,3.444
3.3,8.909,7.167,5.247,3.444
3.4,8.909,7.167,5.246,3.444
3.5,8.909,7.167,5.246,3.444
3.6,8.91,7.167,5.246,3.444
3.7,8.91,7.167,5.245,3.443
3.8,8.91,7.167,5.245,3.443
3.9,8.91,7.167,5.244,3.443
4,8.91,7.167,5.244,3.443
4.1,8.91,7.167,5.244,3.443
4.2,8.91,7.167,5.243,3.443
4.3,8.91,7.167,5.243,3.442
4.4,8.91,7.167,5.242,3.442
4.5,8.91,7.167,5.242,3.442
4.6,8.91,7.167,5.242,3.442
4.7,8.911,7.167,5.241,3.442
4.8,8.911,7.167,5.241,3.441
4.9,8.911,7.167,5.24,3.441
5,8.911,7.167,5.24,3.441
5.1,8.911,7.167,5.24,3.441
5.2,8.911,7.167,5.239,3.441
5.3,8.911,7.167,5.239,3.441
5.4,8.911,7.167,5.238,3.44
5.5,8.911,7.167,5.238,3.44
5.6,8.911,7.167,5.238,3.44
5.7,8.912,7.167,5.237,3.44
5.8,8.912,7.167,5.237,3.44
5.9,8.912,7.167,5.236,3.439
6,8.912,7.167,5.236,3.439
6.1,8.912,7.167,5.236,3.439
6.2,8.912,7.167,5.235,3.439
6.3,8.912,7.167,5.235,3.439
6.4,8.912,7.167,5.234,3.439
6.5,8.912,7.167,5.234,3.438
6.6,8.912,7.167,5.234,3.438
6.7,8.913,7.167,5.233,3.438
6.8,8.913,7.167,5.233,3.438
6.9,8.913,7.167,5.232,3.438
7,8.913,7.167,5.232,3.437
7.1,8.913,7.167,5.232,3.437
7.2,8.913,7.167,5.231,3.437
7.3,8.913,7.167,5.231,3.437
7.4,8.913,7.167,5.23,3.437
7.5,8.913,7.167,5.23,3.436
7.6,8.913,7.167,5.23,3.436
7.7,8.914,7.167,5.229,3.436
7.8,8.914,7.167,5.229,3.436
7.9,8.914,7.167,5.228,3.436
8,8.914,7.167,5.228,3.436
8.1,8.914,7.167,5.228,3.436
8.2,8.914,7.167,5.227,3.435
8.3,8.914,7.167,5.227,3.435
8.4,8.914,7.167,5.226,3.435
8.5,8.914,7.167,5.226,3.435
8.6,8.914,7.167,5.226,3.435
8.7,8.915,7.167,5.225,3.435
8.8,8.915,7.167,5.225,3.434
8.9,8.915,7.167,5.224,3.434
9,8.915,7.167,5.224,3.434
9.1,8.915,7.167,5.224,3.434
9.2,8.915,7.167,5.223,3.434
9.3,8.915,7.167,5.223,3.434
9.4,8.915,7.167,5.222,3.433
9.5,8.915,7.167,5.222,3.433
9.6,8.915,7.167,5.222,3.433
9.7,8.915,7.167,5.221,3.433
9.8,8.916,7.167,5.221,3.433
9.9,8.916,7.167,5.22,3.433
10,8.916,7.167,5.22,3.433
10.1,8.916,7.167,5.22,3.432
10.2,8.916,7.167,5.219,3.432
10.3,8.916,7.167,5.219,3.432
10.4,8.916,7.167,5.218,3.432
10.5,8.916,7.167,5.218,3.432
10.6,8.916,7.167,5.218,3.432
10.7,8.916,7.167,5.217,3.431
10.8,8.917,7.167,5.217,3.431
10.9,8.917,7.167,5.217,3.431
11,8.917,7.167,5.217,3.431
11.1,8.917,7.167,5.217,3.431
11.2,8.917,7.167,5.217,3.431
11.3,8.917,7.167,5.216,3.431
11.4,8.917,7.167,5.216,3.43
11.5,8.917,7.167,5.216,3.43
11.6,8.917,7.167,5.216,3.43
11.7,8.917,7.167,5.216,3.43
11.8,8.918,7.167,5.216,3.43
11.9,8.918,7.167,5.215,3.43
12,8.918,7.167,5.215,3.429
12.1,8.918,7.167,5.215,3.429
12.2,8.918,7.167,5.215,3.429
12.3,8.918,7.167,5.215,3.429
12.4,8.918,7.167,5.215,3.429
12.5,8.918,7.167,5.214,3.429
12.6,8.918,7.167,5.214,3.429
12.7,8.918,7.167,5.214,3.428
12.8,8.919,7.167,5.214,3.428
12.9,8.919,7.167,5.214,3.428
13,8.919,7.167,5.214,3.428
13.1,8.919,7.167,5.213,3.428
13.2,8.919,7.167,5.213,3.428
13.3,8.919,7.167,5.213,3.427
13.4,8.919,7.167,5.213,3.427
13.5,8.919,7.167,5.213,3.427
13.6,8.919,7.167,5.213,3.427
13.7,8.919,7.167,5.212,3.427
13.8,8.92,7.167,5.212,3.427
13.9,8.92,7.167,5.212,3.427
14,8.92,7.167,5.212,3.426
14.1,8.92,7.167,5.212,3.426
14.2,8.92,7.167,5.212,3.426
14.3,8.92,7.167,5.211,3.426
14.4,8.92,7.167,5.211,3.426
14.5,8.92,7.167,5.211,3.426
14.6,8.92,7.167,5.211,3.425
14.7,8.92,7.167,5.211,3.425
14.8,8.92,7.167,5.211,3.425
14.9,8.92,7.168,5.211,3.425
15,8.92,7.168,5.21,3.425
15.1,8.92,7.168,5.21,3.425
15.2,8.92,7.168,5.21,3.424
15.3,8.92,7.168,5.21,3.424
15.4,8.92,7.168,5.21,3.424
15.5,8.92,7.169,5.21,3.424
15.6,8.92,7.169,5.209,3.424
15.7,8.92,7.169,5.209,3.424
15.8,8.92,7.169,5.209,3.424
15.9,8.92,7.169,5.209,3.423
16,8.92,7.17,5.209,3.423
16.1,8.92,7.17,5.209,3.423
16.2,8.92,7.17,5.208,3.423
16.3,8.92,7.17,5.208,3.423
16.4,8.92,7.17,5.208,3.423
16.5,8.92,7.17,5.208,3.422
16.6,8.92,7.171,5.208,3.422
16.7,8.92,7.171,5.208,3.422
16.8,8.92,7.171,5.207,3.422
16.9,8.92,7.171,5.207,3.421
17,8.92,7.171,5.207,3.421
17.1,8.92,7.171,5.207,3.421
17.2,8.92,7.172,5.207,3.42
17.3,8.92,7.172,5.207,3.42
17.4,8.92,7.172,5.206,3.419
17.5,8.92,7.172,5.206,3.419
17.6,8.92,7.172,5.206,3.418
17.7,8.92,7.172,5.206,3.418
17.8,8.92,7.173,5.206,3.418
17.9,8.92,7.173,5.206,3.417
18,8.92,7.173,5.205,3.417
18.1,8.92,7.173,5.205,3.416
18.2,8.92,7.173,5.205,3.416
18.3,8.92,7.173,5.205,3.416
18.4,8.92,7.174,5.205,3.415
18.5,8.92,7.174,5.205,3.415
18.6,8.92,7.174,5.205,3.414
18.7,8.92,7.174,5.204,3.414
18.8,8.92,7.174,5.204,3.413
18.9,8.92,7.175,5.204,3.413
19,8.92,7.175,5.204,3.413
19.1,8.92,7.175,5.204,3.412
19.2,8.92,7.175,5.204,3.412
19.3,8.92,7.175,5.203,3.411
19.4,8.92,7.175,5.203,3.411
19.5,8.92,7.176,5.203,3.411
19.6,8.92,7.176,5.202,3.41
19.7,8.92,7.176,5.202,3.41
19.8,8.92,7.176,5.202,3.409
