C,s,t,u,v
+0.00379368,0,0,0,0
+0.00886523,2,0,0,0
-0.032241,1,1,0,0
+0.00344778,0,2,0,0
-0.0408811,0,1,1,0
-0.108009,1,1,1,0
-0.0885381,2,1,1,0
+0.188561,0,2,1,0
-0.00370871,1,0,0,1
+0.00513696,0,1,0,1
+0.0209449,1,1,0,1
+0.00474319,2,1,0,1
-0.00723408,2,0,1,1
+0.00438388,1,1,1,1
-0.0269403,0,2,1,1
+0.0558082,3,0,1,0
+0.0161886,0,3,1,0
+0.00318086,1,3,1,0
+0.015896,0,0,2,0
+0.0471729,1,0,2,0
+0.0196283,3,0,2,0
-0.0502782,0,1,2,0
-0.030055,3,1,2,0
+0.0417122,2,2,2,0
-0.0397722,0,3,2,0
-0.00350024,0,6,2,0
-0.0106854,3,0,0,1
+0.00110903,3,3,0,1
-0.000313912,0,6,0,1
+0.0035985,3,0,1,1
-0.00142121,0,6,1,1
-0.00383637,1,0,2,1
+0.0126803,0,2,2,1
-0.00318278,2,3,2,1
+0.00334268,0,6,2,1
-0.00183491,1,1,0,2
+0.000112451,3,2,0,2
-0.0000297228,3,6,0,2
+0.000269551,1,0,1,2
+0.00083265,2,0,1,2
+0.00155334,0,2,1,2
+0.000302683,0,6,1,2
-0.0001843,0,0,2,2
-0.000425399,0,3,2,2
+0.0000869243,3,3,2,2
-0.0004659,0,6,2,2
+0.0000554194,1,6,2,2
